title,author,publish,secondTitle,originName,translator,publishYear,Pages,price,ISBN
重构,JayFields/ShaneHarvie/MartinFowler,机械工业出版社,Ruby版,无,徐旭铭,2010,294,49.00元,9787111300786
算法图解,[美]AdityaBhargava,人民邮电出版社,无,无,袁国忠,2017-3,196,49.00元,9787115447630
Python参考手册（第4版）,DavidM.Beazley,人民邮电出版社,无,PythonEssentialReference，4E,谢俊,2010-12,540,89.00元,9787115242594
Why Programs Fail,泽勒,电子工业出版社,系统化调试指南,WhyProgramsFail:AGuidetoSystematicDebugging,王咏武,2007-3,406,59.00元,9787121036866
Java入门1•2•3,臧萌,清华大学出版社,一个老鸟的Java学习心得,无,无,2010-5-1,615,69.00元,9787302217831
Go Web编程,谢孟军,电子工业出版社,无,无,无,2013-6-1,329,65.00元,9787121200915
Android 源码设计模式解析与实战,何红辉/关爱民,人民邮电出版社,无,无,无,2015-11,366,79.00元,9787115406712
基于MVC的JavaScript Web富应用开发,麦卡劳(AlexMacCaw),电子工业出版社,无,JavaScriptWebApplications,李晶,2012-5,282,59.00元,9787121109560
High Performance Python,MichaGorelick/IanOzsvald,O'ReillyMedia,PracticalPerformantProgrammingforHumans,无,无,2014-9-10,380,USD39.99,9781449361594
游戏开发中的人工智能,DavidM.Bourg/GlennSeemann,东南大学出版社,无,AIforGameDevelopers,O'ReillyTaiwan公司,2006,369,48.00元,9787564105075
Python语言及其应用,[美]BillLubanovic,人民邮电出版社,Python语言及其应用,无,丁嘉瑞,2016-1,404,79.00元,9787115407092
The AWK Programming Language,AlfredV.Aho/BrianW.Kernighan/PeterJ.Weinberger,Pearson,无,无,无,1988-1-11,210,USD151.40,9780201079814
JavaScript异步编程,TrevorBurnham,人民邮电出版社,设计快速响应的网络应用,AsyncJavaScript:BuildMoreResponsiveAppswithLessCode,许青松,2013-6,118,32.00元,9787115316578
C#高级编程(第4版),ChristianNagelBillEvjenJayGlynn等,清华大学出版社,无,无,李敏波,2006-10,1191,128.00元,9787302138037
格蠹汇编,张银奎,电子工业出版社,软件调试案例集锦,无,无,2013-3-1,461,66.00元,9787121196072
Imperfect C++中文版,威尔逊,人民邮电出版社,PracticalSolutionsforReal-LifeProgramming,无,荣耀,2006-1,591,75.0,9787115136848
Flash ActionScript 3殿堂之路,孙颖,电子工业出版社,无,无,无,2007-09,446,53.80元,9787121048838
程序员实用算法,AndrewBinstock/JohnRex,机械工业出版社,无,PracticalAlgorithmsforProgrammers,陈宗斌,2009-9,437,65.00元,9787111272960
Java JDK6学习笔记,林信良,清华大学出版社,无,无,无,2007-4,572,59.90元,9787302149958
Go语言学习笔记,雨痕,电子工业出版社,无,无,无,2016-6,468,89,9787121291609
游戏开发物理学,DavidM.Bourg,电子工业出版社,无,PhysicsforGameDevelopers,O'ReillyTaiwan公司,2004-1,337,48.00元,9787121002083
多处理器编程的艺术,MauriceHerlihy/NirShavit,机械工业出版社,无,TheArtofMultiprocessorProgramming,金海,2009-8,356,59.00元,9787111268055
两周自制脚本语言,[日]千叶滋,人民邮电出版社,无,无,陈筱烟,2014-6,300,59.00元,9787115355645
Android应用性能优化,[法]HervéGuihot,人民邮电出版社,无,ProAndroidAppsPerformanceOptimization,白龙,2012-10,226,49.00元,9787115272416
啊哈C！思考快你一步,啊哈磊,电子工业出版社,用编程轻松提升逻辑力,小学生坐在马桶上都能读懂的C语言编程入门书,无,2013-9,200,39.00元,9787121213366
代码之道,EricBrechner,机械工业出版社,微软开发项目大揭密,无,陆其明,2009-1,192,36.00元,9787111251675
Python Web开发实战,董伟明,电子工业出版社,无,无,无,2016-9-15,504,105,9787121297335
程序设计抽象思想,EricS.Roberts/闪四清,清华大学出版社,C语言描述,无,闪四清,2005-6,665,78.00元,9787302101659
时间触发嵌入式系统设计模式,MichaelJ.Pont,中国电力出版社,使用8051系列微控制器开发可靠应用,无,周敏,2004-7-1,784,85.0,9787508322063
Boost程序库完全开发指南,罗剑锋,电子工业出版社,深入C++“准”标准库,无,无,2010-9,578,79.00元,9787121115776
21天学通C语言,BradleyL.Jones/PeterAitken,人民邮电出版社,无,无,信达工作室,2003-3-1,512,52.00元,9787115111449
挑战编程,无,无,无,ProgrammingChallenges:TheProgrammingContestTrainingManual,刘汝佳,2009-7,302,39.00元,9787302197973
深入理解C++11,MichaelWong/IBMXL编译器中国开发团队,机械工业出版社,C++11新特性解析与应用,无,无,2013-6,328,69.00元,9787111426608
Python 编程金典,P.J.Deitel/J.P.Liperi/B.A.Wiedermann/H.M.Deitel,清华大学出版社,无,无,无,2003-6,596,88.00元,9787302066422
程序员代码面试指南：IT名企算法与数据结构题目最优解,左程云,电子工业出版社,IT名企算法与数据结构题目最优解,无,无,2015-9,532,79.00元,9787121270116
软件框架设计的艺术,[捷]JaroslavTulach,人民邮电出版社,无,PracticalAPIDesign:ConfessionsofaJavaFrameworkArchitect,王磊,2011-3,388,75.00元,9787115248497
Intermediate Perl,RandalL.Schwartz/TomPhoenix/briandfoy,O'ReillyMedia,无,无,无,2006-3-15,280,USD39.99,9780596102067
Practical Java中文版,（美）PeterHaggar,中国电力出版社,中文版,无,侯捷,2003-1,278,46.00元,9787508307398
JAVA2核心技术，卷II,[美]CayS.Horstma,机械工业,无,无,陈昊鹏,2006-3,842,108.00元,9787111179016
PHP高级程序设计,KevinMcArthur,人民邮电出版社出版,模式、框架与测试,"ProPHP:Patterns,Frameworks,TestingandMore",汪泳,2009.7,300,45.00元,9787115193179
MATLAB编程,查普曼,科学出版社,第2版,无,无,2010-6,500,41.00元,9787030111395
LINUX与UNIX Shell编程指南,[美]（D.坦思,机械工业出版社,无,无,无,2000-1,357,38.00元,9787111080411
Java面向对象编程,孙卫琴,电子工业出版社,无,无,无,2006-7,625,65.80元,9787121025389
Ajax基础教程,（美）阿斯利森/（美）舒塔/金灵,人民邮电出版社,无,无,金灵,2006-02-01,253,35.00元,9787115144812
PHP和MySQL Web应用开发核心技术,温施耐德,机械工业出版社,无,无,马朝晖,2006-9,628,78.00元,9787111192367
JavaScript编程全解,［日］井上诚一郎/［日］土江拓郎/［日］滨边将太,人民邮电出版社,无,无,陈筱烟,2013-12,420,79.00,9787115333414
POSIX多线程程序设计,[美]DavidR.Buten,中国电力出版社,无,ProgrammingwithPOSIXThreads,无,2003-1,321,39.00元,9787508313955
Flask Web开发：基于Python的Web应用开发实战,[美]MiguelGrinberg,人民邮电出版社,无,无,安道,2014-12,224,59.00元,9787115373991
疯狂Android讲义,李刚,电子工业出版社,无,无,无,2011-6,689,89.00元,9787121135767
TCP/IP详解 卷2：实现,[美]史蒂文斯,机械工业出版社,无,无,陆雪莹,2004-1,901,78.00元,9787111075677
